ID,Day,Treatment,Sex,antibody,,,,,,,,,,,,,,,,,
LD541,0,MG,Female,0.002727686,,,,,,,,,,,,,,,,,
609,0,MG,Male,0.003842459,,,,,,,,,,,,,,,,,
LD19-208,0,MG,Male,0.000480307,,,,,,,,,,,,,,,,,
Blue-048,0,MG,Male,0.000960615,,,,,,,,,,,,,,,,,
616,0,MG,Male,0.001363843,,,,,,,,,,,,,,,,,
LD245,7,MG,Female,0.006724304,,,,,,,,,,,,,,,,,
LD584,7,MG,Female,0.021133525,,,,,,,,,,,,,,,,,
LD586,7,MG,Female,0.014409222,,,,,,,,,,,,,,,,,
1217,7,MG,Female,0.012085079,,,,,,,,,,,,,,,,,
LD541,7,MG,Female,0.025913017,,,,,,,,,,,,,,,,,
609,7,MG,Male,0.064841499,,,,,,,,,,,,,,,,,
LD19-208,7,MG,Male,0.037944284,,,,,,,,,,,,,,,,,
Blue-048,7,MG,Male,0.016330451,,,,,,,,,,,,,,,,,
616,7,MG,Male,0.016366116,,,,,,,,,,,,,,,,,
LD245,14,MG,Female,0.011527378,,,,,,,,,,,,,,,,,
LD584,14,MG,Female,0.020653218,,,,,,,,,,,,,,,,,
LD586,14,MG,Female,0.006243996,,,,,,,,,,,,,,,,,
1217,14,MG,Female,0.027377522,,,,,,,,,,,,,,,,,
LD541,14,MG,Female,0.033186846,,,,,,,,,,,,,,,,,
609,14,MG,Male,0.142170989,,,,,,,,,,,,,,,,,
LD19-208,14,MG,Male,0.016810759,,,,,,,,,,,,,,,,,
Blue-048,14,MG,Male,0.082178537,,,,,,,,,,,,,,,,,
616,14,MG,Male,0.06500985,,,,,,,,,,,,,,,,,
LD245,21,MG,Female,0.055591363,,,,,,,,,,,,,,,,,
LD584,21,MG,Female,0.010566763,,,,,,,,,,,,,,,,,
LD586,21,MG,Female,0.009125841,,,,,,,,,,,,,,,,,
1217,21,MG,Female,0.030454399,,,,,,,,,,,,,,,,,
LD541,21,MG,Female,0.035005304,,,,,,,,,,,,,,,,,
609,21,MG,Male,0.108069164,,,,,,,,,,,,,,,,,
LD19-208,21,MG,Male,0.014889529,,,,,,,,,,,,,,,,,
Blue-048,21,MG,Male,0.122784402,,,,,,,,,,,,,,,,,
616,21,MG,Male,0.06182755,,,,,,,,,,,,,,,,,
