ID,Sex,Treatment,Day ,ES
LD19-208,Male,MG,7,5
Blue-014,Male,MG,7,
Blue-096,Male,MG,7,2
LD18-221,Male,MG,7,
Blue-048,Male,MG,7,6
609,Male,MG,7,6
616,Male,MG,7,6
LD553,Female,Control,10,0
LD238,Female,Control,10,0
LD578,Female,Control,10,0
690,Female,Control,10,0
LD243,Female,Control,10,0
Blue-004,Female,Control,10,0
608,Male,Control,10,0
624,Male,Control,10,0
MK114,Male,Control,10,0
630,Male,Control,10,0
LD19-211,Male,Control,10,0
LD18-202,Male,Control,10,0
1217,Female,MG,10,0
SEM 1978,Female,MG,10,
LD586,Female,MG,10,0
LD541,Female,MG,10,0
LD584,Female,MG,10,0
LD245,Female,MG,10,2.5
LD19-208,Male,MG,10,0
Blue-014,Male,MG,10,
Blue-096,Male,MG,10,
LD18-221,Male,MG,10,
Blue-048,Male,MG,10,6
609,Male,MG,10,5.5
616,Male,MG,10,5
LD553,Female,Control,14,0
LD238,Female,Control,14,0
LD578,Female,Control,14,0
690,Female,Control,14,0
LD243,Female,Control,14,0
Blue-004,Female,Control,14,0
608,Male,Control,14,0
624,Male,Control,14,0
MK114,Male,Control,14,0
630,Male,Control,14,0
LD19-211,Male,Control,14,0
LD18-202,Male,Control,14,0
1217,Female,MG,14,0
SEM 1978,Female,MG,14,
LD586,Female,MG,14,0
LD541,Female,MG,14,0
LD584,Female,MG,14,0
LD245,Female,MG,14,0
LD19-208,Male,MG,14,0
Blue-014,Male,MG,14,
Blue-096,Male,MG,14,
LD18-221,Male,MG,14,
Blue-048,Male,MG,14,6
609,Male,MG,14,3
616,Male,MG,14,3.5
LD553,Female,Control,16,0
LD238,Female,Control,16,0
LD578,Female,Control,16,0
690,Female,Control,16,0
LD243,Female,Control,16,0
Blue-004,Female,Control,16,0
608,Male,Control,16,0
624,Male,Control,16,0
MK114,Male,Control,16,0
630,Male,Control,16,0
LD19-211,Male,Control,16,0
LD18-202,Male,Control,16,0
1217,Female,MG,16,0
SEM 1978,Female,MG,16,
LD586,Female,MG,16,0
LD541,Female,MG,16,0
LD584,Female,MG,16,0
LD245,Female,MG,16,0
LD19-208,Male,MG,16,0
Blue-014,Male,MG,16,
Blue-096,Male,MG,16,
LD18-221,Male,MG,16,
Blue-048,Male,MG,16,6
609,Male,MG,16,0
616,Male,MG,16,0
LD553,Female,Control,18,0
LD238,Female,Control,18,0
LD578,Female,Control,18,0
690,Female,Control,18,0
LD243,Female,Control,18,0
Blue-004,Female,Control,18,0
608,Male,Control,18,0
624,Male,Control,18,0
MK114,Male,Control,18,0
630,Male,Control,18,0
LD19-211,Male,Control,18,0
LD18-202,Male,Control,18,0
1217,Female,MG,18,0
